Date,Time,"P-core 8 T0 Effective Clock [MHz]","P-core 8 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
25.8.2026,8:49:56.847,70.4,7.3,9.2,65,16.250,
25.8.2026,8:49:57.051,111.6,1.1,1.1,63,12.294,
25.8.2026,8:49:57.257,105.1,0.9,4.4,63,11.406,
25.8.2026,8:49:57.449,105.1,0.9,4.4,61,11.545,
25.8.2026,8:49:57.658,230.3,10.2,4.2,63,9.603,
25.8.2026,8:49:57.865,110.3,0.0,6.4,62,12.663,
25.8.2026,8:49:58.069,149.2,20.9,7.3,63,13.109,
25.8.2026,8:49:58.263,84.5,0.0,4.1,61,11.905,
25.8.2026,8:49:58.471,199.8,20.9,6.7,59,11.342,
25.8.2026,8:49:58.678,63.6,6.5,7.6,59,9.227,
25.8.2026,8:49:58.887,67.8,0.0,3.8,92,8.624,
25.8.2026,8:49:59.075,69.7,7.8,6.8,60,11.093,
25.8.2026,8:49:59.282,114.7,0.2,4.4,60,11.737,
25.8.2026,8:49:59.489,38.6,0.0,6.5,60,12.135,
25.8.2026,8:49:59.697,126.0,0.0,2.2,61,9.047,
25.8.2026,8:49:59.890,84.8,14.5,6.9,58,12.276,
25.8.2026,8:50:0.095,78.1,0.0,2.1,62,9.383,
25.8.2026,8:50:0.301,142.7,0.0,5.0,63,10.834,
25.8.2026,8:50:0.511,52.5,18.3,9.6,62,10.904,
25.8.2026,8:50:0.699,51.3,0.0,6.1,81,10.320,
25.8.2026,8:50:0.908,116.3,0.0,5.7,62,18.219,
25.8.2026,8:50:1.114,95.7,7.5,6.2,62,10.642,
25.8.2026,8:50:1.320,65.4,0.0,3.9,61,10.699,
25.8.2026,8:50:1.513,72.8,6.6,2.3,62,10.984,
25.8.2026,8:50:1.720,241.6,3.3,2.3,61,9.341,
25.8.2026,8:50:1.925,86.7,13.6,5.4,60,9.935,
25.8.2026,8:50:2.135,59.3,0.0,7.4,60,11.140,
25.8.2026,8:50:2.327,162.0,9.0,2.0,61,10.398,
25.8.2026,8:50:2.529,66.4,0.0,3.2,60,9.577,
25.8.2026,8:50:2.739,61.5,6.5,5.6,61,10.120,
25.8.2026,8:50:2.945,144.7,8.6,5.5,60,10.169,
25.8.2026,8:50:3.155,70.1,0.0,2.5,60,11.325,
25.8.2026,8:50:3.362,34.7,21.9,6.3,60,9.687,
25.8.2026,8:50:3.569,76.6,0.0,6.1,60,9.191,
25.8.2026,8:50:3.779,106.9,23.8,5.7,61,11.094,
25.8.2026,8:50:3.967,64.1,0.0,6.5,61,11.229,
25.8.2026,8:50:4.171,88.8,7.6,4.1,59,8.637,
25.8.2026,8:50:4.380,154.6,8.5,6.6,61,11.154,
25.8.2026,8:50:4.586,45.8,0.0,3.0,59,9.467,
25.8.2026,8:50:4.780,101.4,12.9,5.0,79,9.467,
25.8.2026,8:50:4.988,89.8,7.9,9.0,59,10.757,
25.8.2026,8:50:5.195,34.0,0.0,6.2,60,14.318,
25.8.2026,8:50:5.401,114.6,1.2,2.4,59,10.983,
25.8.2026,8:50:5.589,150.5,0.0,2.0,59,10.943,
25.8.2026,8:50:5.796,40.2,6.3,2.1,81,8.810,
25.8.2026,8:50:6.003,45.0,0.0,7.1,84,9.089,
25.8.2026,8:50:6.211,105.5,28.0,5.4,85,10.268,
25.8.2026,8:50:6.401,53.3,0.0,4.8,88,8.631,
25.8.2026,8:50:6.608,53.5,0.0,1.2,64,9.933,
25.8.2026,8:50:6.815,39.1,12.7,5.9,88,10.126,
25.8.2026,8:50:7.023,79.9,0.0,7.5,71,13.303,
