Date,Time,"Core 0 T0 Effective Clock [MHz]","Core 0 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
9.9.2026,19:23:32.047,568.8,13.1,7.2,43,8.219,
9.9.2026,19:23:32.253,1349.4,31.4,18.6,46,15.777,
9.9.2026,19:23:32.461,669.5,15.1,5.9,44,10.051,
9.9.2026,19:23:32.653,480.4,16.8,13.6,44,10.965,
9.9.2026,19:23:32.858,549.8,11.9,5.1,44,10.062,
9.9.2026,19:23:33.065,929.5,21.4,7.6,43,10.991,
9.9.2026,19:23:33.270,551.2,12.8,5.8,43,8.828,
9.9.2026,19:23:33.462,725.7,16.0,4.6,43,8.841,
9.9.2026,19:23:33.666,545.6,18.7,11.6,44,8.841,
9.9.2026,19:23:33.871,535.7,12.6,5.4,43,9.118,
9.9.2026,19:23:34.081,428.6,6.3,2.9,43,8.513,
9.9.2026,19:23:34.288,436.7,12.4,6.1,42,8.483,
9.9.2026,19:23:34.480,508.7,11.3,6.7,43,8.483,
9.9.2026,19:23:34.685,551.0,18.1,8.7,43,9.630,
9.9.2026,19:23:34.893,545.3,13.2,6.9,44,8.269,
9.9.2026,19:23:35.096,377.5,9.3,4.4,43,9.024,
9.9.2026,19:23:35.306,351.8,8.2,4.2,43,8.329,
9.9.2026,19:23:35.495,385.1,15.0,7.5,43,8.572,
9.9.2026,19:23:35.702,499.1,11.4,6.3,44,8.280,
9.9.2026,19:23:35.913,428.3,8.7,5.4,43,8.678,
9.9.2026,19:23:36.117,704.1,17.0,3.5,42,8.254,
9.9.2026,19:23:36.309,398.6,15.4,10.1,43,7.997,
9.9.2026,19:23:36.520,507.3,10.2,4.9,42,7.963,
9.9.2026,19:23:36.724,478.2,10.1,4.0,42,8.645,
9.9.2026,19:23:37.092,354.8,14.5,9.8,64,8.850,
9.9.2026,19:23:37.120,354.8,14.5,9.8,64,8.850,
9.9.2026,19:23:37.327,967.5,23.0,14.1,43,12.352,
9.9.2026,19:23:37.534,598.8,14.7,6.6,43,11.811,
9.9.2026,19:23:37.738,538.0,12.6,3.2,42,8.871,
9.9.2026,19:23:37.946,560.1,14.1,5.8,43,8.237,
9.9.2026,19:23:38.153,228.7,11.2,5.3,42,7.898,
9.9.2026,19:23:38.363,289.8,5.4,3.3,41,6.080,
9.9.2026,19:23:38.557,207.6,9.8,2.6,43,6.790,
9.9.2026,19:23:38.765,251.1,5.8,2.3,42,6.654,
9.9.2026,19:23:38.972,390.7,8.6,7.8,42,6.251,
9.9.2026,19:23:39.187,222.2,10.5,2.5,42,7.324,
9.9.2026,19:23:39.391,586.4,12.9,17.9,55,5.974,
9.9.2026,19:23:39.599,441.0,9.5,15.9,74,15.330,
9.9.2026,19:23:39.806,299.3,12.9,7.9,42,19.205,
9.9.2026,19:23:40.023,311.8,4.2,3.9,43,10.548,
9.9.2026,19:23:40.230,184.8,9.7,2.0,43,6.294,
9.9.2026,19:23:40.442,297.7,4.3,3.8,43,5.774,
9.9.2026,19:23:40.658,265.7,5.0,1.6,42,6.720,
9.9.2026,19:23:40.870,223.3,6.5,3.7,43,6.193,
9.9.2026,19:23:41.075,235.6,11.5,7.3,43,6.313,
9.9.2026,19:23:41.286,224.0,3.1,1.3,43,5.857,
9.9.2026,19:23:41.496,214.3,11.5,3.3,42,5.832,
9.9.2026,19:23:41.705,283.1,5.1,3.5,42,5.940,
9.9.2026,19:23:41.920,227.1,4.0,3.4,43,6.192,
9.9.2026,19:23:42.131,286.1,9.3,2.7,42,6.019,
9.9.2026,19:23:42.331,204.0,7.6,5.2,42,6.086,
9.9.2026,19:23:42.545,276.3,4.6,2.0,42,5.891,
