Date,Time,"CPU Package Power [W]","Total CPU Usage [%]","Core 0 Clock [MHz]","CPU Package [¡ÆC]",
31.8.2026,21:5:54.371,3.714,12.6,4099.7,37,
31.8.2026,21:5:54.575,3.403,14.0,1299.9,38,
31.8.2026,21:5:54.766,4.372,14.0,1299.9,38,
31.8.2026,21:5:54.976,3.604,12.3,1299.9,37,
31.8.2026,21:5:55.179,4.037,13.1,1299.9,37,
31.8.2026,21:5:55.387,3.180,5.8,1199.9,37,
31.8.2026,21:5:55.589,5.323,10.5,1299.9,37,
31.8.2026,21:5:55.783,3.884,11.1,1299.9,37,
31.8.2026,21:5:55.993,3.753,19.0,3199.8,36,
31.8.2026,21:5:56.196,4.932,9.6,1299.9,36,
31.8.2026,21:5:56.398,3.639,11.6,1299.9,45,
31.8.2026,21:5:56.609,4.038,14.6,1399.9,38,
31.8.2026,21:5:56.819,4.400,10.9,3099.8,45,
31.8.2026,21:5:57.022,2.850,10.2,1299.9,36,
31.8.2026,21:5:57.230,2.952,10.8,1299.9,38,
31.8.2026,21:5:57.416,5.681,18.2,2199.9,41,
31.8.2026,21:5:57.621,19.786,53.3,4099.7,53,
31.8.2026,21:5:57.835,9.208,27.5,4699.7,38,
31.8.2026,21:5:58.033,11.011,26.2,4099.7,49,
31.8.2026,21:5:58.244,18.190,34.2,3499.8,51,
31.8.2026,21:5:58.447,16.366,36.8,3699.8,46,
31.8.2026,21:5:58.638,19.156,35.9,4099.7,47,
31.8.2026,21:5:58.846,7.404,26.6,1499.9,38,
31.8.2026,21:5:59.048,8.849,30.1,1399.9,45,
31.8.2026,21:5:59.262,11.283,28.4,1499.9,38,
31.8.2026,21:5:59.462,8.373,28.1,3299.8,46,
31.8.2026,21:5:59.669,11.495,24.5,3799.7,43,
31.8.2026,21:5:59.871,10.988,25.6,4099.7,49,
31.8.2026,21:6:0.085,18.374,42.0,4099.7,52,
31.8.2026,21:6:0.287,4.907,11.4,1499.9,39,
31.8.2026,21:6:0.499,3.791,9.0,1799.9,38,
31.8.2026,21:6:0.684,4.056,14.7,4099.7,38,
31.8.2026,21:6:0.900,8.751,23.7,4099.7,38,
31.8.2026,21:6:1.092,2.581,6.2,1499.9,41,
31.8.2026,21:6:1.303,4.143,16.6,1599.9,37,
31.8.2026,21:6:1.505,3.390,9.0,1499.9,44,
31.8.2026,21:6:1.716,2.507,7.9,1499.9,37,
31.8.2026,21:6:1.919,3.270,13.5,1499.9,37,
31.8.2026,21:6:2.113,2.629,13.8,1799.9,39,
31.8.2026,21:6:2.316,3.173,8.8,4399.7,38,
31.8.2026,21:6:2.527,3.863,7.1,1499.9,38,
31.8.2026,21:6:2.728,3.017,9.2,4699.7,37,
31.8.2026,21:6:2.921,2.689,12.3,1399.9,37,
31.8.2026,21:6:3.132,2.875,11.5,2599.8,38,
31.8.2026,21:6:3.336,2.746,10.2,1499.9,37,
31.8.2026,21:6:3.545,2.703,8.2,4299.7,37,
31.8.2026,21:6:3.739,2.674,11.4,1399.9,37,
31.8.2026,21:6:3.941,3.960,7.4,1299.9,37,
31.8.2026,21:6:4.151,3.589,11.9,1399.9,38,
31.8.2026,21:6:4.346,3.589,11.6,1299.9,37,
31.8.2026,21:6:4.547,4.392,12.9,1299.9,37,
31.8.2026,21:6:4.757,4.035,9.4,1399.9,37,
31.8.2026,21:6:4.967,3.561,8.1,1299.9,37,
31.8.2026,21:6:5.161,3.561,13.2,1299.9,38,
31.8.2026,21:6:5.363,4.419,13.6,1199.9,39,
31.8.2026,21:6:5.565,4.480,11.3,1299.9,38,
31.8.2026,21:6:5.774,4.703,9.2,1299.9,38,
31.8.2026,21:6:5.985,4.876,9.6,1299.9,37,
31.8.2026,21:6:6.169,4.676,16.5,1299.9,37,
31.8.2026,21:6:6.381,5.322,12.2,1899.9,38,
31.8.2026,21:6:6.589,3.035,11.6,1399.9,37,
31.8.2026,21:6:6.796,4.998,9.7,1299.9,37,
31.8.2026,21:6:6.983,4.994,12.2,1299.9,37,
31.8.2026,21:6:7.193,4.688,11.8,1299.9,37,
31.8.2026,21:6:7.398,4.720,12.5,1199.9,38,
31.8.2026,21:6:7.598,3.652,6.2,1299.9,37,
31.8.2026,21:6:7.810,3.473,12.7,1599.9,38,
31.8.2026,21:6:8.003,3.473,12.7,1599.9,38,
31.8.2026,21:6:8.211,4.448,14.9,1499.9,38,
31.8.2026,21:6:8.415,5.941,8.4,1299.9,37,
31.8.2026,21:6:8.614,4.112,6.3,1299.9,37,
31.8.2026,21:6:8.821,6.433,23.5,1299.9,38,
31.8.2026,21:6:9.023,6.588,10.3,1299.9,37,
31.8.2026,21:6:9.217,4.799,12.4,4099.7,44,
31.8.2026,21:6:9.429,3.844,11.2,1399.9,37,
31.8.2026,21:6:9.630,3.303,7.9,1399.9,38,
31.8.2026,21:6:9.841,4.624,14.1,1399.9,47,
31.8.2026,21:6:10.043,4.016,6.9,1399.9,37,
31.8.2026,21:6:10.257,4.101,11.2,1399.9,38,
31.8.2026,21:6:10.460,6.611,16.7,4099.7,40,
31.8.2026,21:6:10.660,6.520,12.5,1399.9,37,
31.8.2026,21:6:10.870,5.002,15.5,1599.9,40,
31.8.2026,21:6:11.080,5.171,5.8,3499.8,42,
31.8.2026,21:6:11.281,4.164,17.0,1399.9,37,
31.8.2026,21:6:11.493,4.859,6.6,1399.9,38,
31.8.2026,21:6:11.694,2.932,8.9,1399.9,38,
31.8.2026,21:6:11.905,5.120,10.6,4099.7,38,
31.8.2026,21:6:12.097,5.608,11.0,1399.9,38,
31.8.2026,21:6:12.299,4.802,13.2,1499.9,37,
31.8.2026,21:6:12.512,4.241,12.8,1499.9,37,
31.8.2026,21:6:12.712,3.557,11.0,1499.9,38,
31.8.2026,21:6:12.923,4.494,12.1,1499.9,37,
31.8.2026,21:6:13.107,3.445,9.1,1499.9,38,
31.8.2026,21:6:13.326,4.600,12.0,1599.9,37,
31.8.2026,21:6:13.529,4.117,9.7,1599.9,40,
31.8.2026,21:6:13.714,2.898,9.0,1599.9,39,
31.8.2026,21:6:13.924,4.531,17.0,1499.9,37,
31.8.2026,21:6:14.135,4.635,12.3,1499.9,48,
31.8.2026,21:6:14.335,3.326,10.9,4699.7,37,
31.8.2026,21:6:14.543,5.343,10.5,4099.7,43,
31.8.2026,21:6:14.744,16.911,23.4,4099.7,44,
31.8.2026,21:6:14.953,21.243,26.9,4099.7,56,
31.8.2026,21:6:15.163,12.945,16.4,4699.7,39,
31.8.2026,21:6:15.363,4.298,12.5,1499.9,38,
31.8.2026,21:6:15.575,3.841,12.9,4099.7,41,
31.8.2026,21:6:15.783,3.291,10.5,1499.9,38,
31.8.2026,21:6:15.985,3.660,14.5,1499.9,39,
31.8.2026,21:6:16.195,4.474,10.4,4099.7,37,
31.8.2026,21:6:16.396,3.488,11.6,4099.7,39,
31.8.2026,21:6:16.609,4.507,10.0,4099.7,44,
31.8.2026,21:6:16.801,2.931,15.0,4099.7,39,
31.8.2026,21:6:17.002,3.592,12.1,2299.8,38,
31.8.2026,21:6:17.213,3.920,11.3,4099.7,38,
31.8.2026,21:6:17.424,4.221,7.7,4699.7,38,
31.8.2026,21:6:17.626,3.378,13.6,2999.8,37,
31.8.2026,21:6:17.835,4.553,12.6,2899.8,39,
31.8.2026,21:6:18.044,3.633,10.2,1499.9,38,
31.8.2026,21:6:18.236,4.323,13.3,1499.9,39,
31.8.2026,21:6:18.437,5.422,15.9,4099.7,38,
31.8.2026,21:6:18.646,5.221,12.8,1399.9,38,
31.8.2026,21:6:18.855,4.242,12.0,4499.7,39,
31.8.2026,21:6:19.056,6.404,12.7,3099.8,38,
31.8.2026,21:6:19.246,9.616,21.4,4099.7,46,
31.8.2026,21:6:19.451,24.337,39.6,3999.7,58,
31.8.2026,21:6:19.674,25.247,45.5,4099.7,57,
31.8.2026,21:6:19.865,13.938,28.9,4099.7,47,
31.8.2026,21:6:20.066,7.443,12.2,1799.9,39,
31.8.2026,21:6:20.274,8.006,14.5,1999.9,39,
31.8.2026,21:6:20.463,6.998,12.5,1399.9,38,
31.8.2026,21:6:20.670,6.446,15.1,1299.9,39,
31.8.2026,21:6:20.876,5.347,13.7,1299.9,38,
31.8.2026,21:6:21.083,15.685,20.0,4099.7,53,
31.8.2026,21:6:21.290,18.738,19.5,4099.7,73,
31.8.2026,21:6:21.480,18.111,19.4,4099.7,77,
31.8.2026,21:6:21.687,16.671,25.9,4699.7,49,
31.8.2026,21:6:21.891,8.867,11.8,1599.9,39,
31.8.2026,21:6:22.099,5.838,10.4,1299.9,39,
31.8.2026,21:6:22.304,6.020,10.8,1299.9,39,
31.8.2026,21:6:22.510,6.020,12.5,2199.9,39,
31.8.2026,21:6:22.709,9.672,31.3,4099.7,44,
31.8.2026,21:6:22.911,14.857,13.6,1599.9,40,
31.8.2026,21:6:23.122,6.690,8.3,1299.9,39,
31.8.2026,21:6:23.324,6.868,16.6,4099.7,51,
31.8.2026,21:6:23.515,11.277,16.8,1799.9,40,
31.8.2026,21:6:23.724,7.963,12.9,1599.9,39,
31.8.2026,21:6:23.927,6.454,9.1,1599.9,39,
31.8.2026,21:6:24.130,3.763,14.3,2299.8,40,
31.8.2026,21:6:24.336,6.515,24.6,3599.8,41,
31.8.2026,21:6:24.527,17.871,17.1,1299.9,39,
31.8.2026,21:6:24.736,5.332,13.7,1399.9,39,
31.8.2026,21:6:24.939,7.355,14.2,1299.9,39,
31.8.2026,21:6:25.146,5.195,13.7,1299.9,39,
31.8.2026,21:6:25.356,6.141,10.7,1299.9,39,
31.8.2026,21:6:25.551,5.567,10.7,1299.9,39,
31.8.2026,21:6:25.759,5.420,19.5,1599.9,38,
31.8.2026,21:6:25.961,7.734,13.7,1399.9,39,
31.8.2026,21:6:26.170,5.976,12.7,1299.9,39,
31.8.2026,21:6:26.370,5.628,14.2,1299.9,39,
31.8.2026,21:6:26.564,6.141,14.4,1899.9,38,
31.8.2026,21:6:26.791,5.086,16.8,1499.9,39,
31.8.2026,21:6:26.992,5.856,13.6,1299.9,39,
31.8.2026,21:6:27.200,8.403,16.7,4099.7,53,
31.8.2026,21:6:27.409,11.576,19.2,1399.9,40,
31.8.2026,21:6:27.593,4.969,12.3,1499.9,39,
31.8.2026,21:6:27.802,6.773,18.1,1399.9,39,
31.8.2026,21:6:28.013,5.014,11.5,1399.9,39,
31.8.2026,21:6:28.213,3.328,12.0,1399.9,38,
31.8.2026,21:6:28.403,7.884,13.8,4099.7,45,
31.8.2026,21:6:28.609,14.589,20.9,4099.7,58,
31.8.2026,21:6:28.816,17.028,21.8,4099.7,55,
31.8.2026,21:6:29.017,21.321,32.2,4099.7,52,
31.8.2026,21:6:29.225,12.671,19.6,1799.9,40,
31.8.2026,21:6:29.434,6.441,14.8,1699.9,43,
31.8.2026,21:6:29.625,5.784,10.8,1399.9,42,
31.8.2026,21:6:29.834,6.455,19.7,1499.9,39,
31.8.2026,21:6:30.034,5.088,9.9,1499.9,39,
31.8.2026,21:6:30.239,7.404,14.0,4099.7,41,
31.8.2026,21:6:30.455,8.948,13.8,4099.7,45,
31.8.2026,21:6:30.640,5.568,10.4,1599.9,39,
31.8.2026,21:6:30.849,4.795,15.0,4099.7,41,
31.8.2026,21:6:31.055,8.282,15.6,4099.7,43,
31.8.2026,21:6:31.256,9.493,15.8,4099.7,46,
31.8.2026,21:6:31.465,5.249,11.6,4099.7,41,
31.8.2026,21:6:31.656,5.417,12.0,1499.9,49,
31.8.2026,21:6:31.857,6.152,17.7,2599.8,39,
31.8.2026,21:6:32.067,5.092,10.2,4699.7,40,
31.8.2026,21:6:32.278,3.761,6.8,4699.7,44,
31.8.2026,21:6:32.480,5.329,9.8,1499.9,40,
31.8.2026,21:6:32.673,4.040,8.5,4099.7,39,
31.8.2026,21:6:32.878,5.053,11.0,2699.8,39,
31.8.2026,21:6:33.091,5.334,12.8,4699.7,39,
31.8.2026,21:6:33.291,4.373,7.3,4099.7,39,
31.8.2026,21:6:33.485,5.696,12.4,1499.9,39,
31.8.2026,21:6:33.687,5.204,14.2,4699.7,40,
31.8.2026,21:6:33.894,7.323,12.1,1299.9,39,
31.8.2026,21:6:34.105,5.714,10.8,1299.9,39,
31.8.2026,21:6:34.305,3.989,12.3,1899.9,39,
31.8.2026,21:6:34.509,6.586,12.2,1899.9,40,
31.8.2026,21:6:34.707,6.320,15.5,2599.8,39,
31.8.2026,21:6:34.908,7.947,15.9,1699.9,39,
31.8.2026,21:6:35.110,14.418,23.6,4099.7,41,
31.8.2026,21:6:35.307,7.704,13.7,2399.8,40,
31.8.2026,21:6:35.523,7.334,12.1,1299.9,39,
31.8.2026,21:6:35.716,6.551,15.1,1299.9,39,
31.8.2026,21:6:35.940,11.830,17.7,4099.7,46,
31.8.2026,21:6:36.142,6.317,10.7,1299.9,41,
31.8.2026,21:6:36.352,3.743,7.4,1299.9,40,
31.8.2026,21:6:36.556,3.695,15.3,1299.9,39,
31.8.2026,21:6:36.747,3.695,9.3,1299.9,39,
31.8.2026,21:6:36.954,8.681,19.0,4099.7,46,
31.8.2026,21:6:37.159,20.773,22.9,4099.7,47,
31.8.2026,21:6:37.368,13.104,9.7,2899.8,40,
31.8.2026,21:6:37.572,8.813,4.3,4099.7,40,
31.8.2026,21:6:37.777,8.587,10.0,4099.7,40,
31.8.2026,21:6:37.984,8.412,6.2,4099.7,41,
31.8.2026,21:6:38.197,8.421,1.7,4099.7,40,
31.8.2026,21:6:38.388,8.421,8.3,4099.7,39,
31.8.2026,21:6:38.596,8.464,4.2,4699.7,39,
31.8.2026,21:6:38.805,8.896,6.5,4699.7,39,
31.8.2026,21:6:39.010,8.416,5.3,4699.7,39,
31.8.2026,21:6:39.220,8.507,13.7,4699.7,39,
31.8.2026,21:6:39.426,8.999,4.0,4699.7,41,
31.8.2026,21:6:39.631,8.424,6.6,4099.7,41,
31.8.2026,21:6:39.830,8.703,6.7,4099.7,40,
31.8.2026,21:6:40.041,8.551,5.3,4699.7,39,
31.8.2026,21:6:40.231,8.551,9.7,4099.7,40,
31.8.2026,21:6:40.439,8.913,4.3,4699.7,40,
31.8.2026,21:6:40.647,9.383,5.0,4099.7,41,
31.8.2026,21:6:40.854,8.458,8.5,4699.7,41,
31.8.2026,21:6:41.044,8.858,13.2,4099.7,41,
31.8.2026,21:6:41.250,9.301,3.0,4699.7,39,
31.8.2026,21:6:41.459,8.833,8.4,4699.7,39,
31.8.2026,21:6:41.663,8.418,5.6,4699.7,39,
31.8.2026,21:6:41.856,8.976,5.6,4699.7,39,
31.8.2026,21:6:42.062,8.630,11.3,4099.7,40,
31.8.2026,21:6:42.273,9.502,7.7,4099.7,41,
31.8.2026,21:6:42.464,9.726,1.7,4099.7,40,
31.8.2026,21:6:42.674,10.938,12.2,4699.7,71,
31.8.2026,21:6:42.871,8.338,4.2,4099.7,73,
31.8.2026,21:6:43.080,8.815,9.7,4699.7,68,
31.8.2026,21:6:43.291,9.719,3.7,500.0,73,
31.8.2026,21:6:43.481,8.432,2.6,4099.7,40,
31.8.2026,21:6:43.690,9.408,9.1,4699.7,72,
31.8.2026,21:6:43.896,8.513,2.0,4099.7,73,
31.8.2026,21:6:44.091,8.766,5.1,4099.7,72,
31.8.2026,21:6:44.300,9.774,10.1,4099.7,53,
31.8.2026,21:6:44.510,8.421,2.9,4699.7,70,
31.8.2026,21:6:44.718,8.464,9.0,4099.7,56,
31.8.2026,21:6:44.925,9.092,2.3,4099.7,62,
31.8.2026,21:6:45.133,9.031,5.1,4099.7,70,
31.8.2026,21:6:45.339,9.675,4.8,4699.7,71,
31.8.2026,21:6:45.549,8.323,9.9,4099.7,60,
31.8.2026,21:6:45.754,8.796,3.9,4099.7,58,
31.8.2026,21:6:45.963,8.371,4.1,600.0,62,
31.8.2026,21:6:46.168,10.444,6.9,4099.7,65,
31.8.2026,21:6:46.377,10.566,10.3,4099.7,71,
31.8.2026,21:6:46.590,10.664,4.7,4099.7,54,
31.8.2026,21:6:46.802,7.941,6.9,4099.7,73,
31.8.2026,21:6:47.010,7.888,2.7,4099.7,72,
31.8.2026,21:6:47.217,8.332,7.2,4099.7,55,
31.8.2026,21:6:47.427,8.688,4.4,4699.7,55,
31.8.2026,21:6:47.632,7.666,3.6,4099.7,62,
31.8.2026,21:6:47.825,7.932,2.4,3799.7,70,
31.8.2026,21:6:48.033,8.260,8.7,4099.7,47,
31.8.2026,21:6:48.245,8.384,3.2,4099.7,42,
31.8.2026,21:6:48.434,8.029,5.5,4699.7,42,
31.8.2026,21:6:48.645,7.908,3.9,500.0,41,
31.8.2026,21:6:48.852,7.807,3.8,4699.7,44,
31.8.2026,21:6:49.045,7.475,3.6,4099.7,41,
31.8.2026,21:6:49.250,11.014,12.0,4099.7,52,
31.8.2026,21:6:49.457,8.941,5.2,4699.7,41,
31.8.2026,21:6:49.665,8.229,6.2,4099.7,41,
31.8.2026,21:6:49.855,7.841,2.3,4699.7,41,
31.8.2026,21:6:50.064,7.802,7.0,4699.7,40,
31.8.2026,21:6:50.272,8.116,6.6,4699.7,39,
31.8.2026,21:6:50.468,8.212,1.9,4699.7,40,
31.8.2026,21:6:50.675,8.494,8.0,4699.7,39,
31.8.2026,21:6:50.884,8.116,5.1,4099.7,40,
31.8.2026,21:6:51.088,9.474,5.2,4699.7,41,
31.8.2026,21:6:51.296,8.990,10.1,4099.7,40,
31.8.2026,21:6:51.502,8.311,2.9,4699.7,39,
31.8.2026,21:6:51.709,8.925,5.4,4699.7,40,
31.8.2026,21:6:51.915,8.194,5.5,4099.7,41,
31.8.2026,21:6:52.109,8.447,7.8,500.0,41,
31.8.2026,21:6:52.313,7.934,5.9,4099.7,40,
31.8.2026,21:6:52.520,8.243,4.6,4099.7,41,
31.8.2026,21:6:52.730,8.079,2.6,4099.7,39,
31.8.2026,21:6:52.919,7.863,7.7,4699.7,41,
31.8.2026,21:6:53.130,8.258,4.9,4099.7,40,
31.8.2026,21:6:53.336,8.670,4.1,4099.7,40,
31.8.2026,21:6:53.527,8.067,7.6,4699.7,40,
31.8.2026,21:6:53.744,7.842,3.7,4099.7,39,
31.8.2026,21:6:53.950,7.703,3.9,4699.7,39,
31.8.2026,21:6:54.161,7.434,7.1,4099.7,40,
31.8.2026,21:6:54.365,10.040,4.8,4699.7,41,
31.8.2026,21:6:54.574,9.871,6.2,4099.7,41,
31.8.2026,21:6:54.763,9.749,7.3,4699.7,40,
31.8.2026,21:6:54.969,10.199,8.6,4099.7,40,
31.8.2026,21:6:55.176,10.029,5.0,4699.7,49,
31.8.2026,21:6:55.370,10.029,7.0,4099.7,41,
31.8.2026,21:6:55.576,9.368,15.7,4099.7,49,
31.8.2026,21:6:55.782,14.281,27.5,600.0,48,
31.8.2026,21:6:55.989,19.274,11.7,4699.7,42,
31.8.2026,21:6:56.195,13.988,5.2,4699.7,40,
31.8.2026,21:6:56.387,10.449,9.2,4099.7,40,
31.8.2026,21:6:56.594,9.769,6.7,4099.7,41,
31.8.2026,21:6:56.805,10.099,8.0,4699.7,41,
31.8.2026,21:6:57.010,10.310,8.9,4099.7,40,
31.8.2026,21:6:57.218,9.943,11.2,4699.7,40,
31.8.2026,21:6:57.426,10.086,6.3,4099.7,41,
31.8.2026,21:6:57.633,10.066,6.2,4699.7,40,
31.8.2026,21:6:57.824,9.872,6.2,4699.7,40,
31.8.2026,21:6:58.034,9.982,14.7,4699.7,41,
31.8.2026,21:6:58.238,8.060,3.8,4099.7,41,
31.8.2026,21:6:58.443,9.120,5.3,4099.7,40,
31.8.2026,21:6:58.651,9.414,2.9,4099.7,40,
31.8.2026,21:6:58.857,9.328,11.8,4099.7,41,
31.8.2026,21:6:59.065,8.043,2.5,4099.7,41,
31.8.2026,21:6:59.278,9.178,2.9,4699.7,41,
31.8.2026,21:6:59.482,8.886,8.4,4699.7,42,
31.8.2026,21:6:59.690,7.881,4.7,4099.7,40,
31.8.2026,21:6:59.899,7.825,2.3,4699.7,40,
31.8.2026,21:7:0.105,7.981,6.1,4699.7,42,
31.8.2026,21:7:0.312,7.967,4.8,4699.7,40,
31.8.2026,21:7:0.519,7.888,3.2,4099.7,40,
31.8.2026,21:7:0.727,7.683,6.9,4099.7,41,
31.8.2026,21:7:0.932,7.934,7.7,2899.8,41,
31.8.2026,21:7:1.140,8.247,2.6,4699.7,41,
31.8.2026,21:7:1.349,8.337,6.2,4699.7,42,
31.8.2026,21:7:1.554,8.887,4.2,4699.7,42,
