candidate_id,id,model_id,actual_energy_j,actual_latency_ms,actual_accuracy_percent
C028658,501,0501,0.0328670357783378,1.7610535370519482,85.32
C002898,502,0502,0.0232117790418377,1.070894900778072,84.41
C000653,503,0503,0.0145301520004943,0.717224111213486,84.15
C038214,504,0504,0.0109655865380895,0.5440125726438109,83.35
C027201,505,0505,0.0073591005993485,0.4096569098863022,83.39
C045848,506,0506,0.0081588621422892,0.4385654947249983,83.2
C007061,507,0507,0.0046100425823914,0.2450615845736335,80.65
C032483,508,0508,0.0040673698740967,0.2242234383694853,78.62
C017143,509,0509,0.0032930026842235,0.1797978305259356,77.57
C042472,510,0510,0.0014017716189355,0.0962292118960809,72.34
C031503,511,0511,0.0010645869184023,0.092086601850226,76.1
C045904,512,0512,0.0011587574173883,0.094257948409026,75.66
C010255,513,0513,0.0012268636459443,0.0990435044615868,75.02
C003302,514,0514,0.0013323427056156,0.1041410171917001,75.6
C021213,515,0515,0.0009164101343404,0.0696410106053544,73.48
C009277,516,0516,0.0007880746418605,0.0600413905408521,66.02
C005734,517,0517,0.0006451313002212,0.0473966882413698,64.02
C032321,518,0518,0.0006822438692224,0.0488363058861974,59.41
C000883,519,0519,0.0007632173664702,0.0539974559277661,61.25
C023242,520,0520,0.0007652625234943,0.0532026884122528,59.62
C004280,521,0521,0.0147421145931642,0.9042109997406848,85.08
C033729,522,0522,0.0200847871381517,1.1849287871228296,85.69
C007789,523,0523,0.0219604967301424,1.2514232947838748,85.55
C038769,524,0524,0.0204912918778061,1.1691254318947877,85.37
C002188,525,0525,0.0132564036679569,0.773226679341535,83.41
C009220,526,0526,0.0148785803396565,0.9349831203688128,85.25
C002433,527,0527,0.0216352627511048,1.2415554747995197,85.87
C016052,528,0528,0.0146496598093792,0.8720939400199779,84.56
C029819,529,0529,0.0417291851454214,2.415078822158846,85.96
C002793,530,0530,0.0166939505651898,1.024467678315791,86.16
C004555,531,0531,0.0007254292534783,0.0499513450183923,58.93
C002328,532,0532,0.0008365880069582,0.0562620793202624,61.5
C024630,533,0533,0.0007449880399091,0.0505145805246428,54.3
C010098,534,0534,0.0008186607158329,0.0556718720485198,60.14
C002241,535,0535,0.0008196382310033,0.0562313434042225,58.31
C035666,536,0536,0.0008100611163315,0.0546597622633913,60.72
C006483,537,0537,0.000766152519392,0.0515532023178792,59.08
C016970,538,0538,0.0008238717006859,0.0560476712903497,61.44
C036812,539,0539,0.0007795764363879,0.051770588294404,61.3
C017250,540,0540,0.0008775108648805,0.0590997213008175,57.49
C024294,541,0541,0.0089228932963633,0.5528592670330614,80.29
C031625,542,0542,0.0452996012041481,2.615806374031226,63.02
C014691,543,0543,0.0386857888236978,2.242556116988828,58.73
C006808,544,0544,0.0095194073314971,0.6058278558523833,83.82
C034451,545,0545,0.0416212750981333,2.3936346013912697,84.66
C013764,546,0546,0.0141459662014501,0.8912082669564483,50.39
C019197,547,0547,0.0489576085697916,2.794263507826676,70.8
C017678,548,0548,0.0365630136292168,2.1137765554031334,56.07
C013091,549,0549,0.0106970476403233,0.6840590422157693,85.67
C038326,550,0550,0.0068414363022078,0.4118032738091019,81.05
