selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_lower_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_lower_ms,latency_upper_ms,latency_relative_uncertainty,predicted_accuracy_percent,ensemble_accuracy_mean_percent,accuracy_uncertainty_std_percent,accuracy_lower_percent,accuracy_upper_percent,accuracy_relative_uncertainty,combined_relative_uncertainty,is_measured_candidate,pareto_value_source,measured_model_id,is_mean_accuracy_energy_pareto,is_mean_accuracy_latency_pareto,is_mean_capacity_energy_pareto,accuracy_energy_score
33,low_mean_energy,C013473,4345298529108954167,5,uniform,linear,0.0,4,1-2-3-5,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3-5,5,5698,uniform,linear,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,12.0,1.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,4.0,787968.0,1575936.0,16512.0,2.0,2.0,,,,0.0007800271,0.0007944096432765,2.476963013807725e-05,0.0007696400131385,0.0008191792734146,0.0311799212757706,0.052540444,0.0534547947347164,0.0012145716612496,0.0522402230734667,0.054669366395966,0.0227214727374271,58.188927,59.17625446319581,1.2832000464630042,57.8930544167328,60.459454509658805,0.0216843742156928,0.0251952560762969,False,predicted,,False,False,False,0.7572517237704218
34,low_mean_energy,C009322,1760985882587396856,5,uniform,linear,0.1,3,1-2-3,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3,5,5698,uniform,linear,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,12.0,0.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,3.0,787968.0,1575936.0,16512.0,4.0,4.0,,,,0.0007865387,0.0007954286178573,2.328118636315989e-05,0.0007721474314942,0.0008187098042205,0.0292687311475807,0.05221911,0.0535710163414478,0.0011923621168485,0.0523786542245992,0.0547633784582964,0.0222575974524878,57.66819,58.758426666259766,1.4965100639022062,57.26191660235756,60.25493673016197,0.0254688586609404,0.0256650624203363,False,predicted,,False,False,False,0.7514100158670818
35,low_mean_energy,C020670,7010317208617227512,5,uniform,late,0.0,4,1-2-3-4,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3-4,5,5698,uniform,late,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,4.0,772416.0,1544832.0,16368.0,2.0,2.0,,,,0.0007790313,0.0007958966103615,3.7450572503506864e-05,0.000758446037858,0.000833347182865,0.0470545696714244,0.052091066,0.0539421871304512,0.001680426806264,0.0522617603241871,0.0556226139367152,0.0311523669257273,59.27516,59.77919578552246,0.6706841797355791,59.10851160578688,60.44987996525804,0.0112193576866085,0.0298087647612534,False,predicted,,False,False,False,0.76546068553996
36,low_mean_energy,C017828,8730274233920974083,4,inverse_hourglass,late,0.05,2,1-2,13,14,13-14-14-13,5585,1,13-14-14-13|1-2,4,5585,inverse_hourglass,late,13.0,1.0,14.0,1.0,14.0,0.0,13.0,0.0,,0.0,,0.0,13.0,14.0,13.5,0.5,54.0,1.0,13.0,13.0,1.0,2.0,996480.0,1992960.0,18624.0,8.0,8.0,,,,0.000800336,0.0007995440741069,4.418504578343586e-05,0.0007553590283235,0.0008437291198903,0.055262801907184,0.054232355,0.0561490720137953,0.0015673153345805,0.0545817566792148,0.0577163873483758,0.0279134681726428,58.301403,58.92137718200684,1.7266190534064745,57.19475812860036,60.64799623541331,0.0293037796464428,0.0374933499087565,False,predicted,,False,False,False,0.7533512507950044
37,low_mean_energy,C030542,6414926021773185644,5,inverse_hourglass,linear,0.1,5,1-2-3-4-5,10,13,10-13-13-12-10,5613,1,10-13-13-12-10|1-2-3-4-5,5,5613,inverse_hourglass,linear,10.0,1.0,13.0,1.0,13.0,1.0,12.0,1.0,10.0,1.0,,0.0,10.0,13.0,11.6,1.3564659966250536,58.0,3.0,10.0,10.0,1.0,5.0,700128.0,1400256.0,14632.0,1.0,1.0,,,,0.0007827509,0.000799850342446,2.906940810721147e-05,0.0007707809343387,0.0008289197505532,0.0363435589941924,0.057509586,0.0539148211479187,0.0013739713295776,0.052540849818341,0.0552887924774963,0.0254841117956791,62.34498,61.63748836517334,1.479711322600346,60.157777042573,63.117199687773685,0.0240066777840418,0.0286114495246378,False,predicted,,False,False,False,0.7908080624315625
38,low_mean_energy,C010497,4966496699787033609,4,uniform,late,0.0,2,1-2,14,14,14-14-14-14,5876,1,14-14-14-14|1-2,4,5876,uniform,late,14.0,1.0,14.0,1.0,14.0,0.0,14.0,0.0,,0.0,,0.0,14.0,14.0,14.0,0.0,56.0,0.0,14.0,14.0,1.0,2.0,1064448.0,2128896.0,19712.0,8.0,8.0,,,,0.00079520664,0.0008000851608812,4.499516139302328e-05,0.0007550899994882,0.0008450803222743,0.0562379651479372,0.055624776,0.0573274681344628,0.0014337725448176,0.0558936955896452,0.0587612406792804,0.0250102192103563,58.083363,58.82304306030274,1.6944403013559617,57.128602758946776,60.5174833616587,0.0288057232880471,0.0366846358821136,False,predicted,,False,False,False,0.7519539300909182
39,low_mean_energy,C043477,9039076028136491972,5,uniform,late,0.1,4,1-2-4-5,13,13,13-13-13-13-13,6640,1,13-13-13-13-13|1-2-4-5,5,6640,uniform,late,13.0,1.0,13.0,1.0,13.0,0.0,13.0,1.0,13.0,1.0,,0.0,13.0,13.0,13.0,0.0,65.0,0.0,13.0,13.0,1.0,4.0,967824.0,1935648.0,18512.0,2.0,2.0,,,,0.0007874668,0.0008013533311896,3.901815265671848e-05,0.0007623351785328,0.0008403714838463,0.0486903231547017,0.054122847,0.055079960823059,0.0010514838253046,0.0540284769977543,0.0561314446483637,0.0190901338634303,59.15182,60.40486488342285,0.7387079947257162,59.66615688869714,61.14357287814857,0.012229279812998,0.0266699122770433,False,predicted,,False,False,False,0.7736868257197959
40,low_mean_energy,C016500,2379106074061736111,6,uniform,linear,0.05,4,1-2-4-6,12,12,12-12-12-12-12-12,7006,1,12-12-12-12-12-12|1-2-4-6,6,7006,uniform,linear,12.0,1.0,12.0,1.0,12.0,0.0,12.0,1.0,12.0,0.0,12.0,1.0,12.0,12.0,12.0,0.0,72.0,0.0,12.0,12.0,1.0,4.0,870912.0,1741824.0,17280.0,2.0,2.0,,,,0.00079878466,0.0008014815917704,2.3086482847492413e-05,0.0007783951089229,0.0008245680746179,0.0288047574448912,0.053309593,0.0545802170410752,0.0014243217354837,0.0531558953055914,0.056004538776559,0.0260959338877652,59.02817,59.65082302093506,0.8412698839853218,58.80955313694974,60.492092904920376,0.014103240179772,0.0230013105041428,False,predicted,,False,False,False,0.7632722063585718
41,structural_diversity,C029111,2268669463660234792,3,increasing,linear,0.05,0,,9,130,9-72-130,91836,3,9-72-130|,3,91836,increasing,linear,9.0,0.0,72.0,0.0,130.0,0.0,,0.0,,0.0,,0.0,9.0,130.0,70.33333333333333,49.41209928302536,211.0,121.0,9.0,130.0,14.444444444444445,0.0,92482560.0,184965120.0,216064.0,32.0,32.0,,,,0.024858387,0.0240547824651002,0.0011084740711563,0.0229463083939439,0.0251632565362566,0.0460812344806927,1.8240982,1.835925829410553,0.0688088170576791,1.767117012352874,1.904734646468232,0.0374790832807069,65.12676,63.07879219055176,3.017036719829413,60.061755470722346,66.09582891038117,0.0478296526464138,0.0437966568026045,False,predicted,,False,False,False,-0.925873261300941
42,structural_diversity,C036702,1954375881501390060,3,hourglass,early,0.0,0,,9,254,254-9-254,51073,2,254-9-254|,3,51073,hourglass,early,254.0,0.0,9.0,0.0,254.0,0.0,,0.0,,0.0,,0.0,9.0,254.0,172.33333333333334,115.49410759380277,517.0,245.0,254.0,254.0,1.0,0.0,49158144.0,98316288.0,529408.0,32.0,32.0,,,,0.021767367,0.0208242614753544,0.002177826406023,0.0186464350693313,0.0230020878813774,0.1045812072903764,1.2988824,1.383429318666458,0.1231759392575638,1.2602533794088944,1.506605257924022,0.089036669669758,61.933544,60.82738189697265,4.607341935306581,56.22003996166608,65.43472383227923,0.0757445379304725,0.0897874716302023,False,predicted,,False,False,False,-0.7157002792577967
43,structural_diversity,C029620,8718798200189665176,4,increasing,early,0.05,3,2-3-4,9,253,9-152-209-253,777523,5,9-152-209-253|2-3-4,4,777523,increasing,early,9.0,0.0,152.0,1.0,209.0,1.0,253.0,1.0,,0.0,,0.0,9.0,253.0,155.75,91.98199552086268,623.0,244.0,9.0,253.0,28.11111111111111,3.0,116506944.0,233013888.0,234560.0,4.0,4.0,,,,0.02747558,0.0295553836040198,0.0020834036513852,0.0274719799526346,0.0316387872554051,0.0704915110999239,2.12615,2.113102579116821,0.1098758703019778,2.0032267088148434,2.222978449418799,0.0519974143176242,81.72683,81.41517143249511,1.5201234104794823,79.89504802201563,82.9352948429746,0.0186712548009541,0.0470533934061674,False,predicted,,False,False,False,-1.083608378877555
44,structural_diversity,C033757,1916062923943548628,4,increasing,early,0.1,4,1-2-3-4,22,254,22-153-204-254,781323,5,22-153-204-254|1-2-3-4,4,781323,increasing,early,22.0,1.0,153.0,1.0,204.0,1.0,254.0,1.0,,0.0,,0.0,22.0,254.0,158.25,86.38974186788614,633.0,232.0,22.0,254.0,11.545454545454543,4.0,33803136.0,67606272.0,78816.0,2.0,2.0,,,,0.010642579,0.0104751379229128,0.0009736456404804,0.0095014922824323,0.0114487835633932,0.0929482406480539,0.7846352,0.7140655308961869,0.0425022133098972,0.6715633175862896,0.7565677442060841,0.0595214465212386,82.24253,82.32579078674317,1.430756203545896,80.89503458319727,83.75654699028907,0.0173791978172688,0.0566162949955204,False,predicted,,False,False,False,0.35378106854948466
45,structural_diversity,C040413,1867877941979082242,6,increasing,late,0.1,1,1,13,196,13-21-39-79-127-196,354678,4,13-21-39-79-127-196|1,6,354678,increasing,late,13.0,1.0,21.0,0.0,39.0,0.0,79.0,0.0,127.0,0.0,196.0,0.0,13.0,196.0,79.16666666666667,64.95233294929102,475.0,183.0,13.0,196.0,15.076923076923077,1.0,90441216.0,180882432.0,131584.0,16.0,16.0,,,,0.023435941,0.0229276290163397,0.0015284365158088,0.0213991925005309,0.0244560655321486,0.0666635226311272,1.7633846,1.757904088497162,0.0957325232207404,1.6621715652764215,1.8536366117179024,0.054458331286198,72.734535,77.30805206298828,2.0284050202714528,75.27964704271683,79.33645708325973,0.0262379527894296,0.0491199355689182,False,predicted,,False,False,False,-0.6453528040348573
46,structural_diversity,C036741,8948332001722560671,2,increasing,early,0.0,0,,41,256,41-256,98438,3,41-256|,2,98438,increasing,early,41.0,0.0,256.0,0.0,,0.0,,0.0,,0.0,,0.0,41.0,256.0,148.5,107.5,297.0,215.0,41.0,256.0,6.243902439024391,0.0,97864704.0,195729408.0,304128.0,32.0,32.0,,,,0.027521467,0.0275997438468039,0.0019529820474051,0.0256467617993987,0.029552725894209,0.0707608758344071,1.9980679,1.998819184303284,0.1128863126752907,1.8859328716279928,2.1117054969785745,0.0564765005067924,53.64672,57.40257835388184,3.7228733884397713,53.67970496544206,61.12545174232161,0.0648555081531109,0.0640309614981034,False,predicted,,False,False,False,-1.2689206582959243
47,structural_diversity,C010985,6818162379435393489,5,decreasing,linear,0.0,5,1-2-3-4-5,11,251,251-191-131-71-11,754948,5,251-191-131-71-11|1-2-3-4-5,5,754948,decreasing,linear,251.0,1.0,191.0,1.0,131.0,1.0,71.0,1.0,11.0,1.0,,0.0,11.0,251.0,131.0,84.8528137423857,655.0,240.0,251.0,11.0,0.0438247011952191,5.0,133175268.0,266350536.0,315484.0,1.0,1.0,,,,0.034687728,0.0374845110811293,0.0046025242408789,0.0328819868402503,0.0420870353220082,0.1227846944813418,3.3267334,2.9847923278808595,0.3036650244492651,2.6811273034315946,3.2884573523301244,0.1017374045131176,82.569725,81.68033752441406,2.1289478073883035,79.55138971702576,83.80928533180236,0.0260643855291607,0.08352882817454,False,predicted,,False,False,False,-1.6720596176640163
48,structural_diversity,C018746,9014231363674311961,5,increasing,linear,0.0,2,2-3,15,252,15-74-134-193-252,773319,5,15-74-134-193-252|2-3,5,773319,increasing,linear,15.0,0.0,74.0,1.0,134.0,1.0,193.0,0.0,252.0,0.0,,0.0,15.0,252.0,133.6,83.86322197483233,668.0,237.0,15.0,252.0,16.8,2.0,76401792.0,152803584.0,153920.0,8.0,8.0,,,,0.019227777,0.0208224366419017,0.0012627494010699,0.0195596872408317,0.0220851860429717,0.0606436903992738,1.7805848,1.6275157868862151,0.1325269314086297,1.4949888554775854,1.7600427182948448,0.0814289682941767,82.190895,82.4833267211914,1.23130160232233,81.25202511886907,83.71462832351374,0.0149278848376757,0.0523335145103754,False,predicted,,False,False,False,-0.4167331154023739
49,structural_diversity,C006733,8819956892094346702,4,inverse_hourglass,early,0.1,1,1,15,244,15-244-244-15,602787,4,15-244-244-15|1,4,602787,inverse_hourglass,early,15.0,1.0,244.0,0.0,244.0,0.0,15.0,0.0,,0.0,,0.0,15.0,244.0,129.5,114.5,518.0,229.0,15.0,15.0,1.0,1.0,154450944.0,308901888.0,144128.0,16.0,16.0,,,,0.034434643,0.0347465824335813,0.0028241188509233,0.031922463582658,0.0375707012845046,0.0812776006481121,2.642076,2.511545324325561,0.1114885605310654,2.400056763794496,2.623033884856627,0.044390423478025,73.80985,76.75954666137696,2.606803787821654,74.15274287355531,79.3663504491986,0.0339606459548479,0.0532095566936616,False,predicted,,False,False,False,-1.5355059806050788
50,structural_diversity,C023516,5225078388899218221,6,increasing,early,0.0,0,,8,54,8-29-37-44-49-54,70602,3,8-29-37-44-49-54|,6,70602,increasing,early,8.0,0.0,29.0,0.0,37.0,0.0,44.0,0.0,49.0,0.0,54.0,0.0,8.0,54.0,36.833333333333336,15.203252575974949,221.0,46.0,8.0,54.0,6.75,0.0,71506944.0,143013888.0,226304.0,32.0,32.0,,,,0.021347877,0.0217282373458147,0.0009919097657591,0.0207363275800555,0.0227201471115738,0.0456507239852219,1.3383378,1.5174907922744751,0.0514648107696508,1.4660259815048242,1.568955603044126,0.0339144138677199,68.995285,68.31257820129395,2.0039494727022333,66.30862872859171,70.31652767399618,0.0293349998707013,0.036300045907881,False,predicted,,False,False,False,-0.6799165821633459
