id,candidate_id,selection_reason,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0531,C004555,low_mean_energy,7339160182301088906,5,uniform,linear,0.0,12,12,12-12-12-12-12,1-2-3-4-5,5698,model_onnx/0531.onnx,26441,2026-09-17T13:49:38.536067+00:00
0532,C002328,low_mean_energy,667895695915595575,5,uniform,late,0.05,14,14,14-14-14-14-14,1-2-3-4-5,7654,model_onnx/0532.onnx,34265,2026-09-17T13:49:38.596340+00:00
0533,C024630,low_mean_energy,556652432274193651,4,uniform,linear,0.05,13,13,13-13-13-13,1-2-3,5106,model_onnx/0533.onnx,23216,2026-09-17T13:49:38.668204+00:00
0534,C010098,low_mean_energy,5889507476635797088,5,uniform,linear,0.0,14,14,14-14-14-14-14,1-2-3-4,7654,model_onnx/0534.onnx,34044,2026-09-17T13:49:38.722267+00:00
0535,C002241,low_mean_energy,3179833863557385076,6,uniform,late,0.05,13,13,13-13-13-13-13-13,1-2-3-4-5,8174,model_onnx/0535.onnx,36760,2026-09-17T13:49:38.782868+00:00
0536,C035666,low_mean_energy,2971488483218782882,4,hourglass,linear,0.1,13,14,14-13-13-14,1-2-3-4,5379,model_onnx/0536.onnx,24529,2026-09-17T13:49:38.837956+00:00
0537,C006483,low_mean_energy,2775009537049986249,6,uniform,linear,0.05,12,12,12-12-12-12-12-12,1-2-3-4-6,7006,model_onnx/0537.onnx,32088,2026-09-17T13:49:38.904779+00:00
0538,C016970,low_mean_energy,2411874805599073337,6,uniform,linear,0.0,13,13,13-13-13-13-13-13,1-2-3-5-6,8174,model_onnx/0538.onnx,36760,2026-09-17T13:49:38.965625+00:00
0539,C036812,low_mean_energy,217650833133950520,5,inverse_hourglass,linear,0.1,12,15,12-15-15-14-12,1-2-3-4-5,7569,model_onnx/0539.onnx,33925,2026-09-17T13:49:39.023670+00:00
0540,C017250,low_mean_energy,6560500304283218663,6,hourglass,linear,0.0,14,14,14-14-14-14-14-14,1-2-3-4-5,9432,model_onnx/0540.onnx,41792,2026-09-17T13:49:39.091373+00:00
0541,C024294,structural_diversity,561565286006443637,4,increasing,early,0.1,8,253,8-143-213-253,1-2-3-4,772801,model_onnx/0541.onnx,3094239,2026-09-17T13:49:39.198347+00:00
0542,C031625,structural_diversity,6294961474732386976,4,increasing,late,0.1,8,167,8-27-83-167,,149043,model_onnx/0542.onnx,598316,2026-09-17T13:49:39.253525+00:00
0543,C014691,structural_diversity,6879668738993468552,3,hourglass,early,0.05,15,255,255-15-255,,78820,model_onnx/0543.onnx,317023,2026-09-17T13:49:39.309990+00:00
0544,C006808,structural_diversity,1426900273476912386,5,increasing,early,0.1,16,254,16-139-170-206-254,1-2-3-4-5,1022549,model_onnx/0544.onnx,4093874,2026-09-17T13:49:39.451178+00:00
0545,C034451,structural_diversity,3393025648548860885,6,decreasing,late,0.1,93,243,243-174-134-123-93-93,1-2-3-5-6,927873,model_onnx/0545.onnx,3715590,2026-09-17T13:49:39.700409+00:00
0546,C013764,structural_diversity,4417436345879027244,2,increasing,linear,0.05,21,252,21-252,,50998,model_onnx/0546.onnx,205321,2026-09-17T13:49:39.963381+00:00
0547,C019197,structural_diversity,2846302783027505630,6,hourglass,linear,0.05,14,97,97-63-14-14-65-97,,133585,model_onnx/0547.onnx,537311,2026-09-17T13:49:40.037042+00:00
0548,C017678,structural_diversity,6001299402838833728,2,increasing,early,0.0,53,251,53-251,,123982,model_onnx/0548.onnx,497259,2026-09-17T13:49:40.093409+00:00
0549,C013091,structural_diversity,3215771006653371590,5,increasing,linear,0.05,9,223,9-64-121-164-223,2-3-4-5,585688,model_onnx/0549.onnx,2346203,2026-09-17T13:49:40.210119+00:00
0550,C038326,structural_diversity,822941080045675780,6,increasing,linear,0.0,10,251,10-58-106-155-203-251,1-2-3-5-6,953757,model_onnx/0550.onnx,3819122,2026-09-17T13:49:40.351804+00:00
