selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_upper_ms,latency_relative_uncertainty,combined_relative_uncertainty,capacity_energy_score,is_capacity_energy_pareto,is_latency_energy_pareto
21,capacity_energy_pareto,C032483,2368186944528952820,6,increasing,late,0.1,5,1-2-3-4-6,14,245,14-24-52-100-147-245,520911,4,14-24-52-100-147-245|1-2-3-4-6,6,520911,increasing,late,14.0,1.0,24.0,1.0,52.0,1.0,100.0,1.0,147.0,0.0,245.0,1.0,14.0,245.0,97.0,80.26622369755952,582.0,231.0,14.0,245.0,17.5,5.0,4454604.0,8909208.0,26976.0,1.0,1.0,0.0017500329,0.001892027456779,0.0003900770163715,0.0022821044731505,0.2061687926218653,0.14409715,0.1598648235201835,0.0165619490359587,0.1764267725561422,0.103599707998725,0.1548842503102951,-3.279003260766817,True,False
22,capacity_energy_pareto,C042472,3875732980980196474,6,increasing,late,0.0,5,1-2-3-4-5,8,174,8-15-35-68-114-174,277897,4,8-15-35-68-114-174|1-2-3-4-5,6,277897,increasing,late,8.0,1.0,15.0,1.0,35.0,1.0,68.0,1.0,114.0,1.0,174.0,0.0,8.0,174.0,69.0,58.9406481131655,414.0,166.0,8.0,174.0,21.75,5.0,1600380.0,3200760.0,15990.0,1.0,1.0,0.0012169371,0.0012202704179799,0.0001813708826995,0.0014016413006794,0.148631713124524,0.07930923,0.098081761971116,0.0147968315267194,0.1128785934978355,0.1508622115809556,0.1497469623527398,-1.736285122299343,True,False
23,capacity_energy_pareto,C029537,5351788919870807320,5,increasing,late,0.0,4,1-2-3-4,11,149,11-20-46-89-149,168567,3,11-20-46-89-149|1-2-3-4,5,168567,increasing,late,11.0,1.0,20.0,1.0,46.0,1.0,89.0,1.0,149.0,0.0,,0.0,11.0,149.0,63.0,50.821255395749525,315.0,138.0,11.0,149.0,13.545454545454543,4.0,2407860.0,4815720.0,21348.0,2.0,2.0,0.0013134788,0.001188507117331,0.0001347945176052,0.0013233016349362,0.1134149856064169,0.10517274,0.1069862652570009,0.0119475345638624,0.1189337998208633,0.1116735361792678,0.1125442608928424,-1.0197882871681037,True,False
24,capacity_energy_pareto,C031583,943511703622750682,5,increasing,linear,0.0,5,1-2-3-4-5,11,90,11-31-50-70-90,106678,3,11-31-50-70-90|1-2-3-4-5,5,106678,increasing,linear,11.0,1.0,31.0,1.0,50.0,1.0,70.0,1.0,90.0,1.0,,0.0,11.0,90.0,50.4,27.86108397029807,252.0,79.0,11.0,90.0,8.181818181818182,5.0,2713392.0,5426784.0,23880.0,1.0,1.0,0.0011417754,0.0011177966865943,0.0001320622182502,0.0012498589048445,0.1181451151484196,0.11542479,0.1143483210355043,0.0104583646512578,0.1248066856867622,0.0914605877598378,0.1048028514541287,-0.6162519610755703,True,False
25,capacity_energy_pareto,C041071,785772656390332081,6,inverse_hourglass,linear,0.05,5,1-2-3-4-6,13,57,13-32-57-57-30-13,68994,3,13-32-57-57-30-13|1-2-3-4-6,6,68994,inverse_hourglass,linear,13.0,1.0,32.0,1.0,57.0,1.0,57.0,1.0,30.0,0.0,13.0,1.0,13.0,57.0,33.666666666666664,18.070848224573066,202.0,44.0,13.0,13.0,1.0,5.0,2911968.0,5823936.0,26236.0,1.0,1.0,0.0010704461,0.0010431845090351,0.0001241300148904,0.0011673145239256,0.118991428472497,0.123694845,0.1202865086495876,0.0078909405514711,0.1281774492010587,0.0656012103107807,0.0922963193916389,-0.37321123845216664,True,False
26,capacity_energy_pareto,C007238,7744838670202792149,5,inverse_hourglass,linear,0.1,5,1-2-3-4-5,14,61,14-36-61-38-14,50641,2,14-36-61-38-14|1-2-3-4-5,5,50641,inverse_hourglass,linear,14.0,1.0,36.0,1.0,61.0,1.0,38.0,1.0,14.0,1.0,,0.0,14.0,61.0,32.6,17.54536975956905,163.0,47.0,14.0,14.0,1.0,5.0,3166128.0,6332256.0,28120.0,1.0,1.0,0.001089694,0.0010363926994614,0.0001079331021735,0.0011443258016349,0.1041430552624067,0.12108906,0.1198617693036794,0.0067796663212261,0.1266414356249056,0.0565623748140184,0.0803527150382125,-0.253629146557236,True,False
27,capacity_energy_pareto,C036773,7293448486584990779,5,increasing,linear,0.1,5,1-2-3-4-5,8,44,8-15-28-33-44,27038,2,8-15-28-33-44|1-2-3-4-5,5,27038,increasing,linear,8.0,1.0,15.0,1.0,28.0,1.0,33.0,1.0,44.0,1.0,,0.0,8.0,44.0,25.6,12.815615474880635,128.0,36.0,8.0,44.0,5.5,5.0,924912.0,1849824.0,14528.0,1.0,1.0,0.0008498771,0.0009509563882602,0.0001274984544611,0.0010784548427214,0.1340739239308831,0.069763795,0.0847809009253978,0.0138422246502891,0.098623125575687,0.1632705538535083,0.1486722388921957,-0.10240366724087024,True,False
28,capacity_energy_pareto,C024467,2885450185447479945,5,increasing,late,0.0,5,1-2-3-4-5,11,27,11-12-15-20-27,11030,1,11-12-15-20-27|1-2-3-4-5,5,11030,increasing,late,11.0,1.0,12.0,1.0,15.0,1.0,20.0,1.0,27.0,1.0,,0.0,11.0,27.0,17.0,5.89915248150105,85.0,16.0,11.0,27.0,2.4545454545454546,5.0,774576.0,1549152.0,15724.0,1.0,1.0,0.00079187873,0.0008952563162893,9.865059435160096e-05,0.0009939069106409,0.1101925700569105,0.063307114,0.0753928737714886,0.0120012997157913,0.0873941734872799,0.1591834760426635,0.134688023049787,-0.0026554585020608784,True,False
49,balanced_fill,C028658,1830800459670494969,6,increasing,early,0.0,4,1-2-4-5,90,253,90-163-193-216-236-253,1792630,5,90-163-193-216-236-253|1-2-4-5,6,1792630,increasing,early,90.0,1.0,163.0,1.0,193.0,0.0,216.0,1.0,236.0,1.0,253.0,0.0,90.0,253.0,191.8333333333333,53.97350172898632,1151.0,163.0,90.0,253.0,2.811111111111111,4.0,87910704.0,175821408.0,164852.0,2.0,2.0,0.023904659,0.022632719296962,0.0019456820176889,0.0245784013146509,0.085967664431296,1.8168185,1.830752444267273,0.130675694311238,1.961428138578511,0.0713781345590603,0.0786728994951782,-10.103067998907632,True,False
50,balanced_fill,C033729,6901232056551839903,6,increasing,early,0.05,5,1-2-3-5-6,69,254,69-149-188-216-229-254,1684297,5,69-149-188-216-229-254|1-2-3-5-6,6,1684297,increasing,early,69.0,1.0,149.0,1.0,188.0,1.0,216.0,0.0,229.0,1.0,254.0,1.0,69.0,254.0,184.16666666666663,61.12123653490295,1105.0,185.0,69.0,254.0,3.681159420289855,5.0,56794392.0,113588784.0,128968.0,1.0,1.0,0.015460094,0.0157755643129348,0.0016199166002337,0.0173954809131686,0.1026851761433041,1.4744706,1.3611473083496093,0.0665525998428569,1.4276999081924662,0.0488944873450559,0.07578983174418,-9.894869108414,True,False
4,low_energy_ucb,C000883,296072201989045859,4,uniform,linear,0.1,4,1-2-3-4,14,14,14-14-14-14,5876,1,14-14-14-14|1-2-3-4,4,5876,uniform,linear,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,,0.0,,0.0,14.0,14.0,14.0,0.0,56.0,0.0,14.0,14.0,1.0,4.0,979776.0,1959552.0,19040.0,2.0,2.0,0.000861912,0.0008118882600683,8.600962413164054e-05,0.0008978978842,0.1059377606031615,0.06617783,0.0731089998036623,0.0076307033778347,0.080739703181497,0.1043743369260604,0.105156048764611,0.024602207653103947,False,False
5,low_energy_ucb,C010098,5889507476635797088,5,uniform,linear,0.0,4,1-2-3-4,14,14,14-14-14-14-14,7654,1,14-14-14-14-14|1-2-3-4,5,7654,uniform,linear,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,14.0,0.0,,0.0,14.0,14.0,14.0,0.0,70.0,0.0,14.0,14.0,1.0,4.0,986832.0,1973664.0,19096.0,2.0,2.0,0.0007885139,0.0008308974152896,7.331985754042526e-05,0.00090421727283,0.0882417687084338,0.06477101,0.0727062240242958,0.0080750042570711,0.0807812282813669,0.1110634524820427,0.0996526105952383,0.0133063370168569,False,False
