model_id,target_energy_j,target_energy_std_j,target_energy_cv_percent,target_latency_ms,target_throughput_inferences_per_sec,measurement_valid_trials,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width
0011,0.0014857342268949,2.2809343275393457e-05,1.535223653227863,0.121484869,8231.499533333334,3,6,20758,uniform,linear,21.0,1.0,21.0,1.0,21.0,0.0,21.0,0.0,21.0,1.0,21.0,0.0,21.0,21.0,21.0,0.0,126.0,0.0,21.0,21.0,1.0,3.0,2422224.0,4844448.0,31248.0,4.0,4.0
0012,0.0606554149906456,0.0028653425093095,4.723968189404731,4.467616269,223.8336796,3,4,234552,decreasing,early,101.0,0.0,97.0,0.0,91.0,0.0,77.0,0.0,,0.0,,0.0,77.0,101.0,91.5,9.096702699330127,366.0,24.0,101.0,77.0,0.7623762376237624,0.0,239007744.0,478015488.0,374784.0,32.0,32.0
0013,0.0062759284846389,0.0002830919143333,4.510757492317754,0.4861633746666666,2056.928816333333,3,4,139028,uniform,early,71.0,1.0,71.0,1.0,71.0,0.0,71.0,1.0,,0.0,,0.0,71.0,71.0,71.0,0.0,284.0,0.0,71.0,71.0,1.0,3.0,19384704.0,38769408.0,99968.0,4.0,4.0
0014,0.0016926240088799,3.5405060237098096e-05,2.091726222206096,0.1442993236666666,6930.049192,3,2,15970,uniform,late,40.0,1.0,40.0,0.0,,0.0,,0.0,,0.0,,0.0,40.0,40.0,40.0,0.0,80.0,0.0,40.0,40.0,1.0,1.0,4792320.0,9584640.0,51200.0,16.0,16.0
0015,0.0168271504127387,0.0002935918307182,1.744750736262727,1.2357408096666669,809.234139,3,5,378145,increasing,early,37.0,0.0,86.0,1.0,106.0,1.0,122.0,1.0,135.0,1.0,,0.0,37.0,135.0,97.2,34.26601815209931,486.0,98.0,37.0,135.0,3.6486486486486487,4.0,61172064.0,122344128.0,163056.0,2.0,2.0
0016,0.0475930682275806,0.0007444115232517,1.5641175300825454,3.448114320333333,290.01560133333334,3,3,236514,decreasing,late,167.0,0.0,103.0,1.0,82.0,1.0,,0.0,,0.0,,0.0,82.0,167.0,117.33333333333333,36.15091823023157,352.0,85.0,167.0,82.0,0.49101796407185627,2.0,182601216.0,365202432.0,297472.0,8.0,8.0
0017,0.01868880569235,0.0009231652709073,4.939669693741946,1.3640683176666666,733.1043455666667,3,5,1363143,increasing,early,83.0,1.0,166.0,1.0,209.0,1.0,223.0,1.0,250.0,1.0,,0.0,83.0,250.0,186.2,58.3143207111255,931.0,167.0,83.0,250.0,3.0120481927710845,5.0,62741448.0,125482896.0,145432.0,1.0,1.0
0018,0.0320988563494843,0.000520647419751,1.6220123673016469,2.202213723,454.08973943333336,3,3,95579,inverse_hourglass,early,21.0,0.0,250.0,0.0,21.0,0.0,,0.0,,0.0,,0.0,21.0,250.0,97.33333333333333,107.95163526114627,292.0,229.0,21.0,21.0,1.0,0.0,97348608.0,194697216.0,299008.0,32.0,32.0
0019,0.0234376073050102,0.0001793367234059,0.7651665166674765,1.6630005516666666,601.3292668333333,3,2,70678,decreasing,late,181.0,0.0,40.0,1.0,,0.0,,0.0,,0.0,,0.0,40.0,181.0,110.5,70.5,221.0,141.0,181.0,40.0,0.22099447513812154,1.0,71728128.0,143456256.0,226304.0,16.0,16.0
0020,0.0151591575480639,0.000707380879363,4.666360100290621,1.1200177116666667,892.8487784333333,3,4,49360,uniform,early,42.0,0.0,42.0,0.0,42.0,0.0,42.0,1.0,,0.0,,0.0,42.0,42.0,42.0,0.0,168.0,0.0,42.0,42.0,1.0,1.0,49932288.0,99864576.0,172032.0,16.0,16.0
