id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc,synflow_score,grad_norm_score,jacob_cov_score,final_accuracy,best_accuracy,final_val_loss,train_time_sec,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score
22,6786324878544198774,2,increasing,late,0.0,64,150,64-150,1,89852,model_onnx/0022.onnx,360957,2026-09-08T11:09:30.062079+00:00,5534.028827250004,1.112892331032899,-16.146907806396484,60.24,60.43,1.124273064422607,727.1228740215302,5534.029063761234,1.0953827287241296,-16.08877182006836
23,3227420719211642672,6,hourglass,early,0.1,20,83,83-68-20-20-63-83,2-4-5-6,128455,model_onnx/0023.onnx,517679,2026-09-08T11:09:30.113013+00:00,75756587.95558393,0.37429829448134877,-16.05872344970703,81.17,81.17,0.5501200201034546,866.0223121643066,75756596.0180859,0.2993551753975986,-16.059410095214844
32,2138378658593451166,6,inverse_hourglass,early,0.1,85,124,85-120-124-124-104-85,2-4,563525,model_onnx/0032.onnx,2257524,2026-09-08T11:09:30.443744+00:00,590699602.2886331,0.28348099234082225,-16.06113052368164,86.49,86.49,0.4579126092433929,960.2725563049316,590699578.2888777,0.2790671158066434,-16.104997634887695
38,5193306621158855030,4,increasing,late,0.0,29,177,29-45-95-177,1,204464,model_onnx/0038.onnx,820222,2026-09-08T11:09:30.714269+00:00,844106.9030339718,0.2568759886085691,-16.338958740234375,74.21,74.21,0.7501944087982177,767.3644006252289,844106.8092705905,0.3279344555960647,-16.418750762939453
54,6689576246580821505,6,increasing,linear,0.1,66,221,66-102-133-161-192-221,1,1040372,model_onnx/0054.onnx,4164699,2026-09-08T11:09:31.362254+00:00,1322274335.5476882,0.18191502954599575,-16.126745223999023,83.66,83.77,0.5280909248828888,1004.8755145072936,1322274192.0471714,0.180996062388504,-16.234773635864258
57,5506572091110198596,6,decreasing,late,0.0,74,166,166-133-107-89-78-74,2-3,532793,model_onnx/0057.onnx,2134604,2026-09-08T11:09:31.500963+00:00,494539989.33665943,0.23830907506980153,-16.067710876464844,85.05,85.08,0.4688817474365234,998.1287167072296,494539957.3387357,0.152144885826038,-16.130952835083008
61,4154080990474572052,4,increasing,late,0.05,94,209,94-112-148-209,1-2-3-4,527525,model_onnx/0061.onnx,2113134,2026-09-08T11:09:31.659482+00:00,4023223.020888388,1.119298851735716,-16.067886352539062,84.14,84.18,0.4949077649116516,784.5641374588013,4023222.891982004,1.111913872220306,-16.059316635131836
77,8403490908903309423,5,uniform,linear,0.0,83,83,83-83-83-83-83,1-3-4-5,251500,model_onnx/0077.onnx,1009446,2026-09-08T11:09:32.310104+00:00,25264907.178459287,0.5281492007274353,-16.06037712097168,83.35,83.37,0.49900661611557,794.4264874458313,25264906.678458396,0.457608768131572,-16.061986923217773
81,9214316316864823098,3,increasing,late,0.05,59,159,59-86-159,,172229,model_onnx/0081.onnx,690656,2026-09-08T11:09:32.451040+00:00,99649.68049815297,0.4884839439811361,-17.380632400512695,65.92,66.03,0.979764645767212,970.9280772209167,99649.67274290325,0.5384054236259055,-16.270248413085938
88,5522071537114309014,6,decreasing,linear,0.1,33,248,248-214-154-119-81-33,3-5,1057879,model_onnx/0088.onnx,4234947,2026-09-08T11:09:32.770826+00:00,920337227.8802662,0.3433613453282409,-16.048511505126953,84.42,84.42,0.5057029106140136,1240.894680738449,920337187.8822184,0.3499765762536236,-16.058549880981445
