timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-07-07T14:40:17,codecarbon,1a8f8040-4042-4410-962f-c5f29ebf2482,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.703805099998135,2.7773329779833564e-08,1.0271942226846424e-08,1.63578384375,0.0,10.0,9.927085047642412e-07,0.0,6.061095277780421e-06,7.053803782544663e-06,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,55.8,2.1763916015625,N,1.0,0.0
2026-07-07T14:40:24,codecarbon,7b083da7-6b33-4137-b365-26b7a8ade533,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.15943949999928,6.50243932314807e-08,1.2602995583433e-08,2.8100904258750004,0.0,10.0,3.624324664612997e-06,0.0,1.2890415000017836e-05,1.6514739664630832e-05,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,55.6,2.165520985921224,N,1.0,0.0
2026-07-07T14:40:27,codecarbon,4cd7f8a2-508b-4cbe-b111-80103df1cda2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.7476805999904172,1.5202884932867315e-08,8.698892081854472e-09,1.5,0.0,10.0,5.045392499960145e-07,0.0,3.356653055541553e-06,3.861192305537568e-06,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-07-07T14:40:31,codecarbon,31b9867a-4d65-4b64-bae8-f7e43b8304f4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.0677734999917448,1.9484630214982683e-08,9.423000253683717e-09,1.5205318125,0.0,10.0,6.540722178831951e-07,0.0,4.294587499963301e-06,4.948659717846496e-06,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-07-07T14:40:35,codecarbon,3c51d7d5-cbb4-491f-b36b-8bbb8e09d373,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6207955999998376,1.38281258719715e-08,8.53169016005034e-09,1.5,0.0,10.0,4.589784583367873e-07,0.0,3.05305583335414e-06,3.512034291690927e-06,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-07-07T14:40:39,codecarbon,16b7171d-b157-4232-8350-8e759c9ed50a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8848502000037115,1.718675587574121e-08,9.118367006411104e-09,1.514326308,0.0,10.0,5.750052630592496e-07,0.0,3.7900458333347663e-06,4.365051096394016e-06,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-07-07T14:40:52,codecarbon,9a511ea0-1688-48c4-ac0c-3e1cee4b4b33,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.005608999999822,1.492801102871799e-07,1.356400270872628e-08,3.0183027193500003,0.0,10.0,8.792048785520748e-06,0.0,2.912175611110999e-05,3.791380489663074e-05,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,55.7,2.171261681450738,N,1.0,0.0
2026-07-07T14:40:59,codecarbon,337cb220-1f70-4e6f-90b8-c9328ea7315a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.392607399990084,6.805380549578351e-08,1.2619833124864356e-08,2.7699957228750005,0.0,10.0,3.7507080919003593e-06,0.0,1.353343444441432e-05,1.728414253631468e-05,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,55.70000000000001,2.170982360839844,N,1.0,0.0
2026-07-07T14:41:03,codecarbon,34b39687-6938-47c3-a26b-564a1321e5ec,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.698969999997644,2.7703421031471733e-08,1.0264442002503145e-08,1.631361426,0.0,10.0,9.878121371820102e-07,0.0,6.04823638887966e-06,7.03604852606167e-06,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,55.6,2.167705535888672,N,1.0,0.0
2026-07-07T14:41:18,codecarbon,99f99b30-ed0a-4626-b7c9-d1ab5c72a569,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.319750199996632,1.6926185105942737e-07,1.3739065184899092e-08,3.1186541457272727,0.0,10.0,1.0222237063292878e-05,0.0,3.276648249997784e-05,4.298871956327071e-05,0.0,Canada,CAN,quebec,,,Windows-10-10.0.19045-SP0,3.14.6,3.2.8,4,Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,0,,-71.2,46.8,3.897407531738281,machine,0.0,0,55.6,2.1674266815185548,N,1.0,0.0
