id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0040,1341786637265440516,6,increasing,early,0.05,82,230,82-154-171-207-207-230,1-2-3-5-6,1488937,model_onnx/0040.onnx,5959850,2026-09-08T11:09:30.838086+00:00
0041,8764663574251432336,2,increasing,late,0.1,64,159,64-159,1-2,95135,model_onnx/0041.onnx,382307,2026-09-08T11:09:30.865109+00:00
0042,8664376229798858184,2,increasing,early,0.1,90,225,90-225,1,187255,model_onnx/0042.onnx,750569,2026-09-08T11:09:30.891563+00:00
0043,7854516168252652567,2,increasing,linear,0.05,20,56,20-56,2,11266,model_onnx/0043.onnx,46608,2026-09-08T11:09:30.913842+00:00
0044,2761130944376165850,6,uniform,linear,0.1,14,14,14-14-14-14-14-14,1-2-4-5-6,9432,model_onnx/0044.onnx,41792,2026-09-08T11:09:30.961192+00:00
0045,6700565295639105488,3,increasing,linear,0.1,39,196,39-124-196,2-3,265642,model_onnx/0045.onnx,1064744,2026-09-08T11:09:30.997416+00:00
0046,6309618868841640922,6,decreasing,late,0.0,54,156,156-119-91-70-58-54,3-4-6,391905,model_onnx/0046.onnx,1571269,2026-09-08T11:09:31.047240+00:00
0047,2149305011164901178,4,decreasing,linear,0.1,22,221,221-151-94-22,1-2-3,453382,model_onnx/0047.onnx,1816340,2026-09-08T11:09:31.095936+00:00
0048,663825625646283994,3,uniform,late,0.1,33,33,33-33-33,1,20932,model_onnx/0048.onnx,85683,2026-09-08T11:09:31.122770+00:00
0049,3471507062573322488,3,decreasing,linear,0.05,71,128,128-104-71,1-2,190743,model_onnx/0049.onnx,765148,2026-09-08T11:09:31.156789+00:00
0050,1405612921488015002,2,increasing,early,0.0,66,94,66-94,2,58728,model_onnx/0050.onnx,236458,2026-09-08T11:09:31.183227+00:00
0051,4645558470123074075,3,decreasing,late,0.05,64,64,64-64-64,2,76298,model_onnx/0051.onnx,307147,2026-09-08T11:09:31.211600+00:00
0052,5079345207805755953,4,uniform,early,0.0,61,61,61-61-61-61,1-2-3-4,102978,model_onnx/0052.onnx,414939,2026-09-08T11:09:31.250296+00:00
0053,5781264147359019769,6,decreasing,late,0.1,44,124,124-100-72-60-45-44,1-3,261643,model_onnx/0053.onnx,1049995,2026-09-08T11:09:31.298197+00:00
0054,6689576246580821505,6,increasing,linear,0.1,66,221,66-102-133-161-192-221,1,1040372,model_onnx/0054.onnx,4164699,2026-09-08T11:09:31.362254+00:00
